pos,neg,komment,result
"Компактный, работает шустро",Не обнаружила,,Отличный
"Скорость работы, тонкий.",Нет.,"Доставка 2 недели. Заказала 23 декабря, а получила 9 января.",Отличный
"Скорость работы качество фото дизайн, всё супер.",Нет.,"Отличный телефон пользуюсь меньше месяца, всё устраивает глюков нет.",Отличный
,,"Куплен в 07.2021 за 18к. В использовании у человека с потребностями ""навигатор"", ""wa"", ""viber"". Пользователь в восторге",Отличный
"Шустрый , красивый , аккум на 5000 , экран амулед , быстрая зарядка , нфс , камера 64 мп , стерео звук- не долби соуронд не харман кардон но громкие динамики это точно), рекламу всю убрал без проблем всё настроил на ютубе вся инфа есть как и что !!!",привезли не тот цвет !!!,денег своих стоит пересел после самсунга а 51 ),Отличный
"Камера,отличная детализация и цветопередача. Батарея,на 2 дня хватает.при умеренной эксплуатации, при интенсивной( видео,игры) на день. Своих денег стоит однозначно!",,,Отличный
"два динамика, динамик разговорный очень громкий в метро хорошо слышно собеседника, камера конечно не айфоновская, но на уровне, достаточно шустрый","как мне казалось зарядку жрёт быстрее чем в своё время новый редми ноут 5 про 4/64, но возможно мне это только кажется))) на два дня с соцсетями, фотографированием по работе мне хватает",телефон полностью устраивает,Отличный
"Я - ойфономан. Нужен был второй телефон. Остановил выбор на 10s (как альтернативу рассматривал иксы)Шикарнейший телефон за 300 баксов! Зарядка моментальная, с красивой анимацией. Батарейка держит отлично. В руке приятная тяжесть: не какая-то пластмасса. Отпечаток пальца сбоку - вообще агонь. Фоткает, снимает видео - я не кинооператор, - меня, ИМХО, устраивает: текст видно, лицо различимо, деревья зелёные, небо голубое.","Андроид. ))))Есть замечание - динамик! Ну просто все слышат, что мне отвечает собеседник. Правда, странный прикол.",,Отличный
"Скорость норм , все интуитивно и тд ,","Экран (точнее наклейка убивается от чиха на него) , размер тк если вы не пионист то вам тяжело будет дотянуться до места вырубающего то или иное приложение (свайп во многих не робит) , камера шлак (пока она сфокусируется у тебя появиться семья и ты поймешь что фото в движении эта камера просто не берет)","В целом доволен , но есть и огрехи , но если ты человек который тупо хочет норм мобилу для соц сетей и копания в инете машинка норм своих денег стоит.",Хороший
"Экран, батарейка, быстродействие","Реклама в операционке, благо есть инструкции на ютубе как ее вырезать","Достойный аппарат, брали теще на замену старенькому iPhone 6.. конечно их нельзя сравнивать, новый по всем характеристикам уделывает старичка, за исключением бесконтактных платежей, тут по удобству у Apple конкурентов нет.А так, переход с iOS на Android в целом у нас прошёл безболезненно, к покупке рекомендую",Хороший
"Экран супер, камера супер","Датчик приближения очень плохо работает, но это мелочи с тем, что он постоянно зависает и его приходится перезагружать","До этого был нот 7, датчик приближения тоже очень плохо работал, но хотя бы сам телефон нормально, но это...теперь я 10 раз подумаю перед тем как покупать эту фирму.",Обычный
"Телефон хороший, шустрый. Очень быстро заряжается, багов глобальных каких либо не обнаружено. Зарядки хватает на два дня.","Не понравилась камера через родное приложение. Фотографии часто пересвечены, есть эффект масляной картинки какой-то. Ожидал, что будет лучше. Может исправят в дальнейшем. Пользуюсь gcam, через него получается лучше.","В целом, телефон стоит своих денег.",Хороший
телефон,спустя неделю начал хрипеть динамик при разговоре на громкой связи,,Хороший
,,Покупал дочери вместо Самсунга. Довольна как слон)))),Отличный
Шустрый. Хорошая камера. Достойный звук. Дизайн,Пока не заметили,Аппарат достойный. Впечатления только хорошие. По сравнению с Samsung такой же ценовой категории в разы лучше,Отличный
"Ребёнок очень доволен, забросил планшет, с телефоном ему удобнее.",Иногда подвисает,,Отличный
Красивый и интересный. Сделан 12.21 куплен 02.22. Свежий,Нет лампочки индикатора пропущенного события,"Телефон хороший, советую всем брать на Яндекс с доставкой.",Отличный
Покупал в подарок жене. Искал версию с большим объемом памяти и NFC. Есть нюансы.,"Именно для жены минусом является наличие сканера отпечатков на кнопки включения, а также слишком большой экран для телефона.","Для меня минусы не являются критичными, но делюсь отпетом использования женой.",Хороший
"Хорошая модель, быстрее моего А2 Lite и самое главное оперативка больше на гиг, что позволяет без тормозов загрузить 3 десятка приложений, которые мне нужны, а еще существенно - больший экран при таких-же размерах !!! за счет того, что теперь экран во весь смартфон и все старые напоясные чехлы остались в работе )) а еще у него в комплекте прозрачный чехол","Пока все понравилось,",это моя 3-я модель xiaomi - все по соотношению йена \ качество - отличные,Отличный
Простое меню. Быстрый. Недорогой в своём сегменте.,,Брали маме 65лет. Предыдущий смарт умер. Она довольно быстро разобралась в функциях и приложениях. Ей очень нравится!,Отличный
"большой экран. хорошая комплектность (зарядник, бампер, стекло ), замечательное качество связи","не совсем понятный интерфейс, после установки мелодии вызова через несколько часов на любой входящий вызов вместо установленой мелодии еле слышное пиканье, в источнике проблемы пока не разобрался - проблема решена. недостатков пока не выявлено.","аппарат брал жене в подарок на день рожденья, в общем впечатление пока положительное.",Отличный
Отличный телефон за эти деньги.,Для меня норм. для повседневного пользования.,Рекомендую.,Отличный
Стоимость. Набор,Со старого телефона другого производителя отцу сложно было перенести данные.,В принципе всё хорошо. Два магазина есть и Google и Xiaomi. Приложений хватает.,Отличный
"Отличный смартфон. Жена рада, работает быстро. Чехол и пленка сразу в комплекте.",,,Отличный
,Пока их нет,"Быстрый, удобный, приятно держать в руках, не тяжёлый",Отличный
Брала на подарок. хороший телефон без дефектов. Описанию соответствует. спасибо!,не выявлено,,Отличный
"Быстрый, мощный, хорошо держит заряд",Их нет,,Отличный
"Быстрый, много памяти, ёмкий аккумулятор, NFC, чехол в комплекте, быстрая зарядка.",Не работает управление жестами для сторонних лаунчеров.,Отличный вариант за разумные деньги,Отличный
Камера и отпечаток пальца,Нет,,Отличный
5,0,"Всё быстро, хорошо, рекомендую.",Отличный
5,0,"Всё быстро, хорошо, рекомендую.",Отличный
"Простой и удобный, хороший телефон за свои деньги.Была неожиданно удивлена, что сейчас в комплекте уже стоит защитная пленка( а не просто наклейка) и есть обычный прозрачный чехол. это было особенно приятно, чтобы начать пользоваться им сразу.","Начала пользоваться, все установила, загрузила и итого:- заряда хватает только на целый день, к позднему вечеру или под утро нужна зарядка. Сейчас сижу на удаленке, поэтому вынуждена раздавать инет, звонки, мессенджеры, соц.сети, просмотр youtube, музыка. к вечеру телефон сдыхает, думала, аккум будет мощнее. и это учитывая, что я вообще ни в какие игры не играю.- огромный размер самого аппарата, в мою маленькую руку не помещается особенно в чехле. кисть устает очень быстро и иногда немеют пальцы. но это проблема маркетологов, ведь сейчас все телефоны для великанов.","лучшее предложение сейчас на рынке и соответствие цена/качество. Этой мой 3й телефон у xiaomi, пользовалась samsung и Iphone. Сейчас они просто невероятных конских ценников достигли.",Хороший
"Удобный, шустрый, батарея хорошая, зарядка скоростная. Экран бомба. Стоит своих денег.",,За свои деньги отличный аппарат.,Отличный
Отличный аппарат,Пока нет,,Отличный
Относительно недорогойУдобно лежит в рукеДостаточно большой экранОбъём памятиЗарядки хватает на сутки активного использования,Дизайн корпусаАвторежим камерыБольшой список предустановленных приложений,"Перешла на этот аппарат, когда отжил своё мой старенький Sony XA1 Ultra. Этот аппарат почти во всём современнее и лучше предыдущего, конечно: больше памяти, меньшие габаритные размеры при чуть большей диагонали экрана, вмещается в карманы женской одежды, из-за того, что он более узкий, он удобно лежит в моей маленькой ладони.Мне изначально не очень нравится дизайн подобных моделей, из-за скруглённых углов, хотя понятно. что это вкусовщина.Разумеется, пришлось удалять кучу предустановленных приложений, которыми я не пользуюсь.До сих пор не привыкла к камере, фотографии получаются не такие качественные, как на Sony, несмотря на 4 камеры и отдельную вспышку очень заметна разница в качестве снимков при искусственном освещении.В целом за свои деньги нормальный смартфон.",Отличный
Вполне достойный телефон,Пока не вижу,"Работает отлично, не виснит, камера тоже норм",Отличный
"Очень хороший смартфон с понятным управлением. Все работает довольно быстро, без подвисаний. Все приложения запускаются шустро. Очень хороший объём и у оперативной и встроенной памяти. Телефон оправдывает свою цену на 100%. Покупкой довольны.",нет,,Отличный
"ценник, функционал",пока придраться не к чему...,подарок удался,Отличный
"Прекрасный цвет, брали на подарок маме, она довольна)",Нет,,Отличный
Дешёвый,,Всё что нужно - есть.,Отличный
Дешёвый,,Всё что нужно - есть.,Отличный
"Удобный, мне нравится и функционал и возможности.",,Рекомендую,Отличный
"Быстрый, красивый, недорогой, NFC работает без нареканий",нет,,Отличный
"Быстрота работы, дизайн, пленка и чехол в комплекте",,"Мужу подарила на Новый год на замены старого redmi 9A, он очень доволен, говорит все летает.",Отличный
"Шустрый, красивый, удобный",,,Отличный
,,"Купил брату но Новый год, доволен как слон",Отличный
"-Скорость работы, удобство-Сканер в кнопке разблокировки-Приятный вес. Не тяжелый, не лёгкий.-Автономность очень достойная, особенно при таких габаритах.-Экран оч хорош-Стереозвук. После mi lite9 оставляет очень приятное впечатление.",-Камера. Ну тут сильно не скажешь - бюджетник.,Приятный аппарат. Особенно если взяли вы его на али или по очень хорошей акции (скидке). Как по мне своей цены по максимуму он не стоит (18-22к). А вот тысяч за 14 вполне годный вариант.,Отличный
"Шустрый смартфон, экран радует, заряда хватает более чем на день, при умеренно использовании.Доставили быстро, в комплекте бампер.",Пока не обнаружил,Рекомендую к покупке,Отличный
"Покупали ребенку в подарок на новый год. Сын в восторге, все игрушки летают, памяти наконец-то столько, что он даже не думает про свободные Гиги) До этого телефон был попроще, приходилось удалять что-то, чтобы что-то другое поставить. Камера - шикарная, звук неплохой, картинка сочная. В общем, сто́ит того)",,,Отличный
Тонкий. В руке удобно. Боковой отпечаток огонь.,Пока не нашёл. Пока!?,"Один хрен, только вид с боку.",Отличный
"Покупали ребенку в подарок на новый год. Сын в восторге, все игрушки летают, памяти наконец-то столько, что он даже не думает про свободные Гиги) До этого телефон был попроще, приходилось удалять что-то, чтобы что-то другое поставить. Камера - шикарная, звук неплохой, картинка сочная. В общем, сто́ит того)",,,Отличный
"Отличный телефон, быстрый, долго держит заряд, хорошая цена в соотношении с приличными характеристиками.Выбирал ребенку между A32 и данным аппаратом. В итоге выбор сделал в пользу xiaomi.Дизайн, характеристики, цена. Ребёнок счастлив, родитель спокоен))).Советую!!!",По не нашел,,Отличный
"Быстрый, в комплекте зарядка, которая заряжает с 0 до 100% за час.Отличная камера для телефона такой ценовой категории. НФС, разблокировка отпечатком. Все работает, никаких проблем.","Цена, хотелось бы уложиться до 15 тысяч.",,Отличный
"Небольшой, быстро работает, хорошая камера",Не обнаружил,,Отличный
"Легкий, шустрый,удобный в использовании",,,Отличный
покупал матери на день рожденья.сказала что хорошо что я между этим смартфоном и айфоном выбрал именно его. хороший флагман с достойными хар-ми и суперской комплектацией и функционалом,пока ни одного замечания не услышал,,Отличный
,,"Не работает датчик приближения, сначала срабатывал через раз сейчас вообще не работает, телефону две недели",Обычный
Отличный смартфон,Не айфон,,Отличный
Отличный смартфон. Пока не подводил. Фото получаются качественные. Удобно держать в руке. Я довольна покупкой.,,,Отличный
"Быстро, в комплекте защитное стекло и чехол",Пока не обнаружено,"Лёгкий, в руке лежит комфортно, в комплекте защитное стекло и чехол",Отличный
Телефон супер,Пока не нашел,"Великолепная вещь. Немного смутил сканер отпечатков пальцев, который с краю, где кнопка включения, но сам по себе телефон неплох. Звонит, лазает по Интернету, вацапит и Телеграммит. О покупке не жалею.",Отличный
"Круче последнего айфона! Камера ваще улёт! дизайн супер, даже камера не торчит. быстрая зарядка, мощная батарея, стерео звук класс! устану перечислять..",нет,"А по соотношению к цене, делает всех, молчу ваще про самсунги и тем более ипхоне...",Отличный
"Быстрая доставка. Меньше недели до Самары.Телефон классный, жена довольна.",Датчик приближения !Глючная оболочка,"Ну когда уже китайцы исправят это безобразие ?! Их жалобы покупателей на датчик приближения вообще не интересуют ?Надеюсь , это гарантийный случай . Иначе буду возвращать ...",Обычный
"В целом неплохой вариант, но не за такие деньги","Камера хуже чем была на honor 9, видео снимает отвратительно. Через раз работает датчик блокировки при разговоре","По гарантии не сдаю, так как только установила все приложения, все настроила и обнаружила недостатки, жалко снова сбрасывать все настройки:((",Обычный
В целом неплохой телефон,Ощущение недоработаности,,Хороший
"Телефон нормальный, не тормозит и держит батарейку пока молодой.","Динамик расположен в верхнем торце телефона, соответственно, разговор слышен всем окружающим. выход - убавлять звук, но это очень раздражает.",,Хороший
"Отличный телефон за свои деньги. Шустрый, яркий экран, ёмкая батарея","При зарядке греется до 42 градусов батарея длится минуты 2 а потом опускается до нормы , не знаю плохо ли это или нет.",,Хороший
"Шустрый, хорошая батарея, отличная камера",Пока не обнаружил,"Я бывший пользователь самсунга, решил перейти на сяоми и не жалею.. За такие характеристики самсунг просит на 10-15к больше нежели сяоми. . Очень рад покупке",Отличный
Ёмкий аккумулятор. Быстрая зарядка.,Не обнаружил,В комплекте силиконовый чехол-бампер.,Отличный
"Скорость работы, емкость батареи, дизайн",Спустя три месяца нет нареканий.,"Быстрый современный телефон, стоит своих денег.",Отличный
"Amoled экран, процессор, память, камеры. Лучший бюджетник 2021 года",Не выявлено,Очень доволен,Отличный
Сыну нравится. Приложения все работают загружается быстро,,,Отличный
"Android 11, хороший процессор, хороший экран","Камеру хотелось бы получше, но, возможно, это на контрасте с более дорогими телефонами, так что не критично",За свои деньги телефон более чем хорош,Отличный
"стерео звук, яркий экран, 3.5 выход на наушники","при такой цене их, конечно, немного: прошивка ми - на любителя рекламы. Из коробки цвета экрана надо настраивать, но возможность есть (просто сделал чуть теплее). Камеры средненькие. Также читал, что gps на аппарате работает не очень в связи с ""агрессивными режимами экономии заряда"".","могу рекомендовать, если самое важное это перечисленное в ""достоинствах"", но не в остальных случаях...",Отличный
За свои деньги отличное устройство.,Не обнаружил,"Покупал маме в подарок на юбилей. Все приложения работают быстро, а камера молодит лет на 15. Ей понравилось)",Отличный
"Приятный дизайн, экран насыщенный, легкий, идеальный размер",Телефон зависает при переключении между приложениями и при скроллировании. Первый раз такое с телефонами Xiaomi. Крайне разочарован.,,Плохой
"шикарная батарея (29 часов без поздарядки), железа хватает. легкий, сенсор отпечатка не тупит.",,,Отличный
Шустро работает. Сканер отпечатка и распознавание лица беспедобные. Отличный экран,,,Отличный
"Сравнительно небольшой и лёгкий, адекватная автояркость...",Звук не оправдал ожиданий.,,Отличный
"Шустрый, хорошая камера, громкий звонок.Защитная пленка на экране прямо с завода.","Маловато держит заряд. При среднем использовании к вечеру остается 30%.У штатного чехла маловат выступ вокруг камеры, поэтому по краю быстро появляются потертости.","3-й или 4-й редми подряд.Предыдущий был Redmi 6 Pro - проработал 2,5 года.",Отличный
"Хорошо держит батарею. При активном использовании на 1,5 дня хватает. Отличные цвета экрана, хороший, громкий звук. Быстрый. Отпечаток срабатывает быстро",Не нашла,"Классный внешний вид. Понравился в сером цвете. Радует , что в подарок идет чехол, отличный, простой, силиконовый, прозрачный. И пленка уже наклеена. Все другие характеристики тоже вполне устраивают",Отличный
Купил в подарок. Все хорошо. Спасибо.,,,Отличный
Нет,Цветопередача в видео ужасная. При просмотре видео частотой кадров больше 60fps все начинает лагать. Камера снимает очень ужасно. Рамка корпуса пластиковая и заметно мнется,"Взял на подарок, вернул на следующий день. Подарить стыдно даже",Ужасный
Звук,"Камера хуже, чем у других производителей подобных моделей",,Хороший
Качество доставки и сам телефон супер!!! Спасибо! Будем заказывать ещё!,,Товарный чек 308040 от 11.02.2022,Отличный
"Шустрый, много памяти (дополнила картой на 128))), отдельный слот для карты! плюс две симки, ёмкий аккум, держит двое суток, достаточно тонкий и лёгкий.",,"На мой вкус, великоват, но привыкну)",Отличный
Цена- качество,Не выявлено,"Пользуюсь меньше месяца, пока всё хорошо.",Отличный
"Нормально для такой цены, перешёл с айфона 7+ -нормально",Камера для селфи,,Отличный
"Хороший телефон, удобный, есть всё что нужно","Камера хуже, чем думала",,Отличный
"Цена, качество, функциональность, ёмкость батареи, удобства в использовании.",Пока не выявил.,"Выбирал по рейтингам в Яндексе цена-качество, до 20000 руб. Хотел взять Realme 8 8/128Gb ,также стоящим в первом ряду, но взял этот, хоть и чуть подороже. Возможно, потому, что до этого был этой же зарекомендовавшей себя фирмы.",Отличный
"Хороший звук и время работы. Работает шустро, памяти достаточно, неожиданно порадовала камера)","Если придраться, экран 60гц, хотелось бы хотя бы 90)",Отличный среднеценовой с арт!,Отличный
Просто хороший телефон,"Не работает функция трансляция экрана на телевизор Самсунг . У редми 4 срабатывала моментально ,а эта модель не может соединиться.",,Отличный
Хороший телефон за свои деньги,,,Отличный
Нет,Очень много,Не берите,Ужасный
,лучьше купить самсунг,,Обычный
"Стильный дизайн, хорошая камера и динамик",Очень жёсткий чехол,,Отличный
хороший моб. зарядку держит отлично.,,,Отличный
Цена качество,Нет,Пока все нравится,Отличный
"Шустрый, оптимальный по размеру смартфон, амолед экран. ТОП-середнячок за свои деньги. Сенсор отпечатка не под экраном, а сбоку - более быстро реагирует.","Камера в целом неплохая, но хотелось бы получше. Но за такие деньги не найти, наверное. Слабый вибромотор, в кармане не ощущается.","Предыдущий редми проработал два года без проблем, только аккумулятор стал держать хуже, в итоге продал его и купил этот. Считаю Редми вполне надежной маркой, могу рекомендовать к покупке.",Отличный
"Легкий, быстрый, удобный.",Для себя не нашла.,,Отличный
Цена,Нет,Очень хороший аппарат,Отличный
Ростест,Не обнаружили,"Вешали в мегафоне, что Китай та он итак, все наклейки соответствуют Ростесту.",Отличный
Рабочий аппарат,Нет,Советую,Отличный
Цена - качество 👍,Не заметили,,Отличный
"Отличный дизайн, отличный экран, отличная производительность, хорошая камера за свои деньги.","Мощный проц сажает батарею быстрее чем на более простых телефонах с аккумуляторами той же емкости, но это придирка разумеется.",,Отличный
Телефон супер всё класно и памяти128гб и оперативы 6 Гб и фотки чёткие работает быстро и дешевле чем в других магазинах!,,,Отличный
"-очень четкий, насыщенный и приятный экран-хорошая производительность, большая оператива-много памяти-аккумулятор неплохо держит-наконец-то нормальная прошивка от Xiaomi с возможностью персонализациимощное зарядное устройство в комплекте",-камеры средние,"Брался на замену Redmi Note 5, приятно порадовало развитие линейки. Особо говорить нечего потому как все устраивает.",Отличный
